Property|Type|Computed|Required|Optional|Description
division|String|true|||The name of the division in which the user works. <br><br>Returned only on `$select`. Supports `$filter`.
costCenter|String|true|||The cost center associated with the user. <br><br>Returned only on `$select`. Supports `$filter`.
